timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
3244000,0,0,1,0,0,0,0
3748000,0,0,1,0,0,0,0
4252000,0,0,1,0,0,0,0
4756000,0,0,1,0,0,0,0
5260000,0,0,1,0,0,0,0
5764000,0,0,1,0,0,0,0
6268000,0,0,1,0,0,0,0
6772000,0,0,1,0,0,0,0
7276000,0,0,1,0,0,0,0
7780000,0,0,1,0,0,0,0
8284000,0,0,1,0,0,0,0
8788000,0,0,1,0,0,0,0
9292000,0,0,1,0,0,0,0
9712000,0,0,1,0,0,0,0
10216000,0,0,1,0,0,0,0
10720000,0,0,1,0,0,0,0
11224000,0,0,1,0,0,0,0
11728000,0,0,1,0,0,0,0
12232000,0,0,1,0,0,0,0
12736000,0,0,1,0,0,0,0
13240000,0,0,1,0,0,0,0
13372000,0,0,1,0,0,0,0
13384000,1,0,1,0,0,0,0
13888000,1,0,1,0,0,0,0
14392000,1,0,1,0,0,0,0
14896000,1,0,1,0,0,0,0
15400000,1,0,1,0,0,0,0
15904000,1,0,1,0,0,0,0
16408000,1,0,1,0,0,0,0
16912000,1,0,1,0,0,0,0
17416000,1,0,1,0,0,0,0
17920000,1,0,1,0,0,0,0
18424000,1,0,1,0,0,0,0
18928000,1,0,1,0,0,0,0
19432000,1,0,1,0,0,0,0
19936000,1,0,1,0,0,0,0
20440000,1,0,1,0,0,0,0
20944000,1,0,1,0,0,0,0
21160000,1,0,1,0,0,0,0
21664000,1,0,1,0,0,0,0
22168000,1,0,1,0,0,0,0
22672000,1,0,1,0,0,0,0
23176000,1,0,1,0,0,0,0
23680000,1,0,1,0,0,0,0
24184000,1,0,1,0,0,0,0
24688000,1,0,1,0,0,0,0
25192000,1,0,1,0,0,0,0
25696000,1,0,1,0,0,0,0
26200000,1,0,1,0,0,0,0
26704000,1,0,1,0,0,0,0
27208000,1,0,1,0,0,0,0
27712000,1,0,1,0,0,0,0
28216000,1,0,1,0,0,0,0
28720000,1,0,1,0,0,0,0
29224000,1,0,1,0,0,0,0
29728000,1,0,1,0,0,0,0
30232000,1,0,1,0,0,0,0
30736000,1,0,1,0,0,0,0
31240000,1,0,1,0,0,0,0
31744000,1,0,1,0,0,0,0
32248000,1,0,1,0,0,0,0
32752000,1,0,1,0,0,0,0
33256000,1,0,1,0,0,0,0
33760000,1,0,1,0,0,0,0
34264000,1,0,1,0,0,0,0
34516000,1,0,1,0,0,0,0
34528000,1,0,1,0,0,0,0
35032000,1,0,1,0,0,0,0
35536000,1,0,1,0,0,0,0
36040000,1,0,1,0,0,0,0
36544000,1,0,1,0,0,0,0
37048000,1,0,1,0,0,0,0
37552000,1,0,1,0,0,0,0
38056000,1,0,1,0,0,0,0
38560000,1,0,1,0,0,0,0
39064000,1,0,1,0,0,0,0
39568000,1,0,1,0,0,0,0
40072000,1,0,1,0,0,0,0
40576000,1,0,1,0,0,0,0
41080000,1,0,1,0,0,0,0
41584000,1,0,1,0,0,0,0
42088000,1,0,1,0,0,0,0
42592000,1,0,1,0,0,0,0
43096000,1,0,1,0,0,0,0
43600000,1,0,1,0,0,0,0
44104000,1,0,1,0,0,0,0
44608000,1,0,1,0,0,0,0
45112000,1,0,1,0,0,0,0
45616000,1,0,1,0,0,0,0
46120000,1,0,1,0,0,0,0
46624000,1,0,1,0,0,0,0
47128000,1,0,1,0,0,0,0
47632000,1,0,1,0,0,0,0
48136000,1,0,1,0,0,0,0
48412000,0,0,1,0,0,0,0
48424000,0,0,1,0,0,0,0
48928000,0,0,1,0,0,0,0
