timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
3264000,0,6.3905645e-05,7.5069154e-05,7.4368236e-09,0.0,0.0,0.0
3268000,0,6.390567e-05,7.5069154e-05,7.4241844e-09,0.0,0.0,0.0
3276000,0,6.3905696e-05,7.506914e-05,7.398903e-09,0.0,0.0,0.0
3284000,0,6.3905725e-05,7.506913e-05,7.373621e-09,0.0,0.0,0.0
3296000,0,6.390577e-05,7.506911e-05,7.3357e-09,0.0,0.0,0.0
3304000,0,6.39058e-05,7.50691e-05,7.3104185e-09,0.0,0.0,0.0
3316000,0,6.390585e-05,7.506909e-05,7.272497e-09,0.0,0.0,0.0
3324000,0,6.390588e-05,7.5069074e-05,7.2472157e-09,0.0,0.0,0.0
3336000,0,6.390593e-05,7.506906e-05,7.209294e-09,0.0,0.0,0.0
3344000,0,6.390596e-05,7.5069045e-05,7.184013e-09,0.0,0.0,0.0
3356000,0,6.3906e-05,7.506903e-05,7.1460913e-09,0.0,0.0,0.0
3364000,0,6.390604e-05,7.506902e-05,7.12081e-09,0.0,0.0,0.0
3376000,0,6.390608e-05,7.506901e-05,7.0828885e-09,0.0,0.0,0.0
3384000,0,6.390611e-05,7.5068994e-05,7.0576074e-09,0.0,0.0,0.0
3396000,0,6.390616e-05,7.506898e-05,7.0196857e-09,0.0,0.0,0.0
3404000,0,6.39062e-05,7.506897e-05,6.9944064e-09,0.0,0.0,0.0
3416000,0,6.390624e-05,7.506895e-05,6.956483e-09,0.0,0.0,0.0
3424000,0,6.390628e-05,7.506894e-05,6.9312036e-09,0.0,0.0,0.0
3436000,0,6.3906315e-05,7.506892e-05,6.89328e-09,0.0,0.0,0.0
3444000,0,6.390636e-05,7.5068914e-05,6.868001e-09,0.0,0.0,0.0
3456000,0,6.3906395e-05,7.50689e-05,6.830078e-09,0.0,0.0,0.0
3464000,0,6.390643e-05,7.5068885e-05,6.804798e-09,0.0,0.0,0.0
3476000,0,6.3906475e-05,7.506887e-05,6.766875e-09,0.0,0.0,0.0
3484000,0,6.390651e-05,7.506886e-05,6.7415953e-09,0.0,0.0,0.0
3496000,0,6.3906555e-05,7.506884e-05,6.7036723e-09,0.0,0.0,0.0
3504000,0,6.390659e-05,7.5068834e-05,6.6783925e-09,0.0,0.0,0.0
3516000,0,6.3906635e-05,7.506882e-05,6.640471e-09,0.0,0.0,0.0
3524000,0,6.390667e-05,7.5068805e-05,6.6151897e-09,0.0,0.0,0.0
3536000,0,6.3906715e-05,7.506879e-05,6.577268e-09,0.0,0.0,0.0
3544000,0,6.3906744e-05,7.5068776e-05,6.551987e-09,0.0,0.0,0.0
3556000,0,6.3906795e-05,7.506876e-05,6.5140653e-09,0.0,0.0,0.0
3564000,0,6.3906824e-05,7.5068754e-05,6.488784e-09,0.0,0.0,0.0
3576000,0,6.3906875e-05,7.506874e-05,6.4508625e-09,0.0,0.0,0.0
3584000,0,6.3906904e-05,7.5068725e-05,6.4255814e-09,0.0,0.0,0.0
3596000,0,6.390695e-05,7.506871e-05,6.3876597e-09,0.0,0.0,0.0
3604000,0,6.390698e-05,7.5068696e-05,6.3623777e-09,0.0,0.0,0.0
3616000,0,6.390703e-05,7.506868e-05,6.324457e-09,0.0,0.0,0.0
3624000,0,6.390706e-05,7.506867e-05,6.299175e-09,0.0,0.0,0.0
3636000,0,6.390711e-05,7.506865e-05,6.261254e-09,0.0,0.0,0.0
3644000,0,6.390714e-05,7.5068645e-05,6.235972e-09,0.0,0.0,0.0
3656000,0,6.390719e-05,7.506863e-05,6.1980514e-09,0.0,0.0,0.0
3664000,0,6.390721e-05,7.5068616e-05,6.1727694e-09,0.0,0.0,0.0
3676000,0,6.390726e-05,7.50686e-05,6.1348486e-09,0.0,0.0,0.0
3684000,0,6.390729e-05,7.506859e-05,6.1095666e-09,0.0,0.0,0.0
3696000,0,6.390734e-05,7.506857e-05,6.071646e-09,0.0,0.0,0.0
3704000,0,6.390737e-05,7.5068565e-05,6.046364e-09,0.0,0.0,0.0
3716000,0,6.390741e-05,7.506854e-05,6.008442e-09,0.0,0.0,0.0
3724000,0,6.390744e-05,7.5068536e-05,5.9831606e-09,0.0,0.0,0.0
3736000,0,6.390749e-05,7.506852e-05,5.9452394e-09,0.0,0.0,0.0
3744000,0,6.390752e-05,7.506851e-05,5.919958e-09,0.0,0.0,0.0
